"","PROLIFIC_PID","sti_num","responses","sti_gender","sti_weight","sti_race"
"1","60fdb346754e018cbca22ebc","1",30,"male","minus2","White"
"2","60fdb346754e018cbca22ebc","2",37,"male","minus2","Black"
"3","60fdb346754e018cbca22ebc","3",12,"female","minus2","Black"
"4","60fdb346754e018cbca22ebc","4",71,"male","minus2","White"
"5","60fdb346754e018cbca22ebc","5",63,"female","minus2","White"
"6","60fdb346754e018cbca22ebc","6",99,"male","minus2","Black"
"7","60fdb346754e018cbca22ebc","7",63,"female","minus2","Asian"
"8","60fdb346754e018cbca22ebc","8",14,"female","minus2","Asian"
"9","60fdb346754e018cbca22ebc","9",41,"female","minus2","Black"
"10","60fdb346754e018cbca22ebc","10",79,"male","minus2","White"
"11","60fdb346754e018cbca22ebc","11",43,"female","minus2","White"
"12","60fdb346754e018cbca22ebc","12",60,"male","minus2","Asian"
"13","60fdb346754e018cbca22ebc","13",30,"female","minus2","Asian"
"14","60fdb346754e018cbca22ebc","14",67,"male","minus2","Black"
"15","60fdb346754e018cbca22ebc","15",68,"male","plus2","White"
"16","60fdb346754e018cbca22ebc","16",71,"male","plus2","Asian"
"17","60fdb346754e018cbca22ebc","17",53,"female","plus2","Black"
"18","60fdb346754e018cbca22ebc","18",34,"female","plus2","White"
"19","60fdb346754e018cbca22ebc","19",27,"female","plus2","Asian"
"20","60fdb346754e018cbca22ebc","20",38,"male","plus2","White"
"21","60fdb346754e018cbca22ebc","21",65,"female","plus2","Asian"
"22","60fdb346754e018cbca22ebc","22",56,"male","plus2","White"
"23","60fdb346754e018cbca22ebc","23",64,"male","plus2","Asian"
"24","60fdb346754e018cbca22ebc","24",64,"female","plus2","Black"
"25","60fdb346754e018cbca22ebc","25",76,"female","plus2","White"
"26","60fdb346754e018cbca22ebc","26",56,"female","plus2","Black"
"27","60fdb346754e018cbca22ebc","27",21,"male","plus2","Asian"
"28","60fdb346754e018cbca22ebc","28",62,"male","plus2","Asian"
"29","60fdb346754e018cbca22ebc","29",79,"male","zero","Black"
"30","60fdb346754e018cbca22ebc","30",52,"male","zero","Asian"
"31","60fdb346754e018cbca22ebc","31",21,"female","zero","White"
"32","60fdb346754e018cbca22ebc","32",59,"male","zero","Asian"
"33","60fdb346754e018cbca22ebc","33",74,"female","zero","Black"
"34","60fdb346754e018cbca22ebc","34",37,"female","zero","White"
"35","60fdb346754e018cbca22ebc","35",63,"female","zero","Black"
"36","60fdb346754e018cbca22ebc","36",65,"male","zero","Black"
"37","60fdb346754e018cbca22ebc","37",27,"male","zero","White"
"38","60fdb346754e018cbca22ebc","38",67,"female","zero","Asian"
"39","60fdb346754e018cbca22ebc","39",81,"male","zero","Black"
"40","60fdb346754e018cbca22ebc","40",63,"female","zero","White"
"41","60fdb346754e018cbca22ebc","41",33,"male","zero","Black"
"42","60fdb346754e018cbca22ebc","42",26,"female","zero","Asian"
"43","60fdb346754e018cbca22ebc","43",69,"female","zero","Asian"
"44","60fdb346754e018cbca22ebc","44",70,"male","zero","Black"
"45","60fdb346754e018cbca22ebc","45",64,"male","zero","White"
"46","60fdb346754e018cbca22ebc","46",35,"female","zero","Black"
"47","60fdb346754e018cbca22ebc","47",23,"female","zero","Black"
"48","60fdb346754e018cbca22ebc","48",78,"female","zero","Asian"
"49","60fdb346754e018cbca22ebc","49",67,"female","zero","Black"
"50","60fdb346754e018cbca22ebc","50",73,"male","zero","White"
"51","60fdb346754e018cbca22ebc","51",16,"male","zero","Asian"
"52","60fdb346754e018cbca22ebc","52",68,"male","zero","White"
"53","60fdb346754e018cbca22ebc","53",63,"female","zero","White"
"54","60fdb346754e018cbca22ebc","54",76,"male","zero","Asian"
"55","60fdb346754e018cbca22ebc","55",40,"female","zero","Black"
"56","60fdb346754e018cbca22ebc","56",63,"male","zero","Asian"
"57","60fdb346754e018cbca22ebc","57",15,"female","minus2","Asian"
"58","60fdb346754e018cbca22ebc","58",57,"male","minus2","White"
"59","60fdb346754e018cbca22ebc","59",72,"male","minus2","Black"
"60","60fdb346754e018cbca22ebc","60",77,"male","minus2","Asian"
"61","60fdb346754e018cbca22ebc","61",26,"female","minus2","White"
"62","60fdb346754e018cbca22ebc","62",24,"female","minus2","Black"
"63","60fdb346754e018cbca22ebc","63",68,"male","minus2","Asian"
"64","60fdb346754e018cbca22ebc","64",21,"female","minus2","Black"
"65","60fdb346754e018cbca22ebc","65",83,"male","minus2","Black"
"66","60fdb346754e018cbca22ebc","66",8,"female","minus2","Asian"
"67","60fdb346754e018cbca22ebc","67",73,"male","minus2","Black"
"68","60fdb346754e018cbca22ebc","68",58,"male","minus2","Asian"
"69","60fdb346754e018cbca22ebc","69",64,"female","minus2","White"
"70","60fdb346754e018cbca22ebc","70",64,"female","minus2","Black"
"71","60fdb346754e018cbca22ebc","71",26,"female","plus2","Asian"
"72","60fdb346754e018cbca22ebc","72",64,"male","plus2","Black"
"73","60fdb346754e018cbca22ebc","73",26,"male","plus2","White"
"74","60fdb346754e018cbca22ebc","74",27,"male","plus2","Black"
"75","60fdb346754e018cbca22ebc","75",42,"female","plus2","Asian"
"76","60fdb346754e018cbca22ebc","76",86,"female","plus2","White"
"77","60fdb346754e018cbca22ebc","77",36,"male","plus2","White"
"78","60fdb346754e018cbca22ebc","78",27,"female","plus2","Asian"
"79","60fdb346754e018cbca22ebc","79",52,"female","plus2","White"
"80","60fdb346754e018cbca22ebc","80",29,"male","plus2","White"
"81","60fdb346754e018cbca22ebc","81",87,"male","plus2","Black"
"82","60fdb346754e018cbca22ebc","82",67,"female","plus2","Black"
"83","60fdb346754e018cbca22ebc","83",33,"female","plus2","Black"
"84","60fdb346754e018cbca22ebc","84",30,"male","plus2","Asian"
"85","60fdb346754e018cbca22ebc","85",75,"male","plus2","Black"
"86","60fdb346754e018cbca22ebc","86",71,"male","plus2","Black"
"87","60fdb346754e018cbca22ebc","87",70,"male","plus2","Asian"
"88","60fdb346754e018cbca22ebc","88",31,"female","plus2","Black"
"89","60fdb346754e018cbca22ebc","89",66,"female","plus2","Asian"
"90","60fdb346754e018cbca22ebc","90",70,"male","plus2","White"
"91","60fdb346754e018cbca22ebc","91",31,"female","plus2","White"
"92","60fdb346754e018cbca22ebc","92",31,"female","plus2","White"
"93","60fdb346754e018cbca22ebc","93",84,"male","plus2","Black"
"94","60fdb346754e018cbca22ebc","94",32,"female","plus2","Black"
"95","60fdb346754e018cbca22ebc","95",68,"female","plus2","White"
"96","60fdb346754e018cbca22ebc","96",73,"male","plus2","Black"
"97","60fdb346754e018cbca22ebc","97",56,"male","plus2","Asian"
"98","60fdb346754e018cbca22ebc","98",17,"female","plus2","Asian"
"99","60fdb346754e018cbca22ebc","99",7,"female","zero","Asian"
"100","60fdb346754e018cbca22ebc","100",30,"female","zero","White"
"101","60fdb346754e018cbca22ebc","101",35,"male","zero","Black"
"102","60fdb346754e018cbca22ebc","102",56,"female","zero","Black"
"103","60fdb346754e018cbca22ebc","103",62,"male","zero","White"
"104","60fdb346754e018cbca22ebc","104",3,"female","zero","Asian"
"105","60fdb346754e018cbca22ebc","105",87,"male","zero","White"
"106","60fdb346754e018cbca22ebc","106",67,"male","zero","Asian"
"107","60fdb346754e018cbca22ebc","107",68,"male","zero","White"
"108","60fdb346754e018cbca22ebc","108",78,"female","zero","White"
"109","60fdb346754e018cbca22ebc","109",59,"female","zero","White"
"110","60fdb346754e018cbca22ebc","110",99,"male","zero","Black"
"111","60fdb346754e018cbca22ebc","111",14,"female","zero","Asian"
"112","60fdb346754e018cbca22ebc","112",62,"male","zero","Asian"
"113","60fdb346754e018cbca22ebc","113",62,"female","minus2","Asian"
"114","60fdb346754e018cbca22ebc","114",41,"female","minus2","Black"
"115","60fdb346754e018cbca22ebc","115",9,"male","minus2","Asian"
"116","60fdb346754e018cbca22ebc","116",38,"female","minus2","Black"
"117","60fdb346754e018cbca22ebc","117",19,"female","minus2","White"
"118","60fdb346754e018cbca22ebc","118",79,"male","minus2","White"
"119","60fdb346754e018cbca22ebc","119",82,"female","minus2","Asian"
"120","60fdb346754e018cbca22ebc","120",24,"male","minus2","Black"
"121","60fdb346754e018cbca22ebc","121",61,"male","minus2","Asian"
"122","60fdb346754e018cbca22ebc","122",76,"female","minus2","White"
"123","60fdb346754e018cbca22ebc","123",24,"male","minus2","White"
"124","60fdb346754e018cbca22ebc","124",60,"male","minus2","Asian"
"125","60fdb346754e018cbca22ebc","125",70,"female","minus2","White"
"126","60fdb346754e018cbca22ebc","126",57,"male","minus2","White"
"127","6415e163b670eed64ad645ff","1",54,"male","minus2","White"
"128","6415e163b670eed64ad645ff","2",16,"male","minus2","Black"
"129","6415e163b670eed64ad645ff","3",54,"female","minus2","Black"
"130","6415e163b670eed64ad645ff","4",12,"male","minus2","White"
"131","6415e163b670eed64ad645ff","5",42,"female","minus2","White"
"132","6415e163b670eed64ad645ff","6",47,"male","minus2","Black"
"133","6415e163b670eed64ad645ff","7",25,"female","minus2","Asian"
"134","6415e163b670eed64ad645ff","8",45,"female","minus2","Asian"
"135","6415e163b670eed64ad645ff","9",4,"female","minus2","Black"
"136","6415e163b670eed64ad645ff","10",86,"male","minus2","White"
"137","6415e163b670eed64ad645ff","11",5,"female","minus2","White"
"138","6415e163b670eed64ad645ff","12",17,"male","minus2","Asian"
