Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6595cd77dc9090390e4ed57c,60fdb346754e018cbca22ebc,AWAITING REVIEW,2024-01-03T21:11:23.274000Z,2024-01-03T21:21:16.799000Z,,2024-01-03T21:21:17.462326Z,594.0,C9DG4TYX,49,28,Female,White,United States,United States,United States,English,No,Full-Time
659c609cfd2cd252f42c03bb,655fdb5fd3416866732de4e7,AWAITING REVIEW,2024-01-08T20:52:47.096000Z,2024-01-08T21:09:58.635000Z,,2024-01-08T21:09:59.142615Z,1032.0,C9DG4TYX,208,26,Female,Asian,United States,United States,United States,English,No,Full-Time
659c60b97266c278e349cea2,6415e163b670eed64ad645ff,AWAITING REVIEW,2024-01-08T20:53:20.703000Z,2024-01-08T21:04:11.037000Z,,2024-01-08T21:04:11.522833Z,651.0,C9DG4TYX,785,59,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
659c60e6cfe0425704d9aef1,5dd43c63390fb6428d4974f0,AWAITING REVIEW,2024-01-08T20:54:04.564000Z,2024-01-08T21:08:00.728000Z,,2024-01-08T21:08:01.238418Z,837.0,C9DG4TYX,1655,39,Female,White,United States,United States,United States,English,No,Full-Time
659c60ef95ca8d2e4b1d6705,5dc5bd296a8a334443fbf216,AWAITING REVIEW,2024-01-08T20:54:12.578000Z,2024-01-08T21:12:52.033000Z,,2024-01-08T21:12:52.577582Z,1120.0,C9DG4TYX,1479,52,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
659c60f101836f4a054f28a7,5c2965d11c8e4c0001b309b7,AWAITING REVIEW,2024-01-08T20:54:23.254000Z,2024-01-08T21:19:39.578000Z,,2024-01-08T21:19:40.052239Z,1517.0,C9DG4TYX,773,47,Female,White,United States,United States,United States,English,Yes,Full-Time
659c61554fa7aba3e99e2224,60714361f47701ab73535ae8,AWAITING REVIEW,2024-01-08T20:55:52.736000Z,2024-01-08T21:11:35.626000Z,,2024-01-08T21:11:36.827474Z,943.0,C9DG4TYX,389,52,Female,White,United States,United States,United States,English,No,Full-Time
659c61ccf0063e8589dc623b,63a3375101319bb7cb39f654,AWAITING REVIEW,2024-01-08T20:57:53.248000Z,2024-01-08T21:11:15.475000Z,,2024-01-08T21:11:15.909295Z,803.0,C9DG4TYX,673,53,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
659c61f7a8517af6e61d68c5,65510faa7f1a8b75b43a44ca,AWAITING REVIEW,2024-01-08T20:58:38.134000Z,2024-01-08T21:09:16.790000Z,,2024-01-08T21:09:17.414791Z,639.0,C9DG4TYX,304,28,Female,Other,United States,United States,United States,English,Yes,Unemployed (and job seeking)
659c6297289426d4bcd6bf4e,610842f58a24a351465246d7,AWAITING REVIEW,2024-01-08T21:01:16.609000Z,2024-01-08T21:14:28.124000Z,,2024-01-08T21:14:28.624593Z,792.0,C9DG4TYX,580,25,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
659c62cf55cf3235b06a029f,64664bc615dd4139df276075,AWAITING REVIEW,2024-01-08T21:02:11.199000Z,2024-01-08T21:12:21.870000Z,,2024-01-08T21:12:22.608177Z,611.0,C9DG4TYX,1046,43,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
659c63832bf6c7131e7a0c94,5ce9fef0dfb272001996155b,AWAITING REVIEW,2024-01-08T21:05:11.551000Z,2024-01-08T21:15:29.754000Z,,2024-01-08T21:15:30.237588Z,619.0,C9DG4TYX,2266,36,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
659c639bab8de901335ba7b7,5f120594adcb84118a2bd752,AWAITING REVIEW,2024-01-08T21:05:34.633000Z,2024-01-08T21:18:57.965000Z,,2024-01-08T21:18:58.407168Z,804.0,C9DG4TYX,440,33,Male,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
659c63af85e8225645cc6a54,5757a0d300ca3200072678fa,AWAITING REVIEW,2024-01-08T21:05:57.995000Z,2024-01-08T21:26:12.394000Z,,2024-01-08T21:26:12.812932Z,1215.0,C9DG4TYX,259,42,Female,White,United States,United States,United States,English,No,Part-Time
659c63c19931fee829fd2fc8,659c020f271b6b6ec7d3fc10,AWAITING REVIEW,2024-01-08T21:06:14.223000Z,2024-01-08T21:42:53.046000Z,,2024-01-08T21:42:53.510301Z,2199.0,C9DG4TYX,8,41,Male,Black,Nigeria,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
659c63feb5e60f104b9064a2,5b87e73d53303600015ea51c,AWAITING REVIEW,2024-01-08T21:07:56.523000Z,2024-01-08T21:17:03.478000Z,,2024-01-08T21:17:03.945861Z,547.0,C9DG4TYX,1286,36,Male,Mixed,United States,United States,United States,English,Yes,Full-Time
659c641a6956e8dedb3412ec,5f60fa0a0543ce036fa68ba0,AWAITING REVIEW,2024-01-08T21:07:46.489000Z,2024-01-08T21:29:15.850000Z,,2024-01-08T21:29:16.385596Z,1290.0,C9DG4TYX,1357,64,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
659c642bcfe0425704d9afc8,6020a97ae790606e1add320d,AWAITING REVIEW,2024-01-08T21:10:05.228000Z,2024-01-08T21:39:46.728000Z,,2024-01-08T21:39:47.135469Z,1782.0,C9DG4TYX,1004,34,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED
659c64312bf6c7131e7a0cbc,5de6eca0a91be366cbb5ffe2,AWAITING REVIEW,2024-01-08T21:08:10.128000Z,2024-01-08T21:28:01.149000Z,,2024-01-08T21:28:01.733335Z,1192.0,C9DG4TYX,1327,38,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
659c643c4fa7aba3e99e230e,60fde74940100db428b34a06,AWAITING REVIEW,2024-01-08T21:08:47.543000Z,2024-01-08T21:22:40.252000Z,,2024-01-08T21:22:40.787186Z,833.0,C9DG4TYX,3316,60,Female,White,United Kingdom,United States,United States,English,No,Full-Time
659c646decfcf80396d1d45b,62bbcce64f644bd5698c9422,AWAITING REVIEW,2024-01-08T21:09:06.091000Z,2024-01-08T21:24:08.047000Z,,2024-01-08T21:24:08.566413Z,902.0,C9DG4TYX,2385,44,Male,White,United States,United States,United States,English,No,Full-Time
659c6497974be7f56ad1d057,63403b47287756c1978d2985,AWAITING REVIEW,2024-01-08T21:09:47.704000Z,2024-01-08T21:23:15.490000Z,,2024-01-08T21:23:15.942072Z,808.0,C9DG4TYX,2045,27,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
659c649f30f9dd52ab4da9bf,64ebaee7299cd319130bad92,AWAITING REVIEW,2024-01-08T21:09:56.403000Z,2024-01-08T21:20:15.113000Z,,2024-01-08T21:20:15.651398Z,619.0,C9DG4TYX,124,32,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
659c64ecf59c72a20e2b5eea,651c1abbc73b6eea8fa97193,AWAITING REVIEW,2024-01-08T21:11:16.883000Z,2024-01-08T21:32:19.098000Z,,2024-01-08T21:32:19.719957Z,1263.0,C9DG4TYX,671,68,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
