"","PROLIFIC_PID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","134","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150"
"1","60fdb346754e018cbca22ebc",30,37,12,71,63,99,63,14,41,79,43,60,30,67,68,71,53,34,27,38,65,56,64,64,76,56,21,62,79,52,21,59,74,37,63,65,27,67,81,63,33,26,69,70,64,35,23,78,67,73,16,68,63,76,40,63,15,57,72,77,26,24,68,21,83,8,73,58,64,64,26,64,26,27,42,86,36,27,52,29,87,67,33,30,75,71,70,31,66,70,31,31,84,32,68,73,56,17,7,30,35,56,62,3,87,67,68,78,59,99,14,62,62,41,9,38,19,79,82,24,61,76,24,60,70,57,4,53,67,66,82,64,94,67,82,78,55,71,30,31,62,65,37,41,8,21,64,71,63,12
"2","6415e163b670eed64ad645ff",54,16,54,12,42,47,25,45,4,86,5,17,21,2,2,3,29,24,14,63,2,19,17,21,42,0,7,33,20,6,15,65,23,9,11,2,17,48,50,36,2,3,42,39,46,12,59,11,42,42,14,74,34,39,13,48,3,20,9,60,80,17,4,57,27,9,9,25,44,26,5,7,16,2,5,34,40,9,7,21,46,12,11,28,45,14,29,37,10,38,40,44,17,5,7,16,6,7,4,62,16,8,14,6,94,7,41,48,34,36,12,11,23,47,11,32,8,85,46,5,31,33,10,62,42,59,13,14,24,46,23,35,43,26,8,50,20,30,29,26,22,51,40,11,9,8,54,67,40,13
"3","5dd43c63390fb6428d4974f0",100,68,100,88,99,100,54,39,100,100,47,100,52,100,75,66,100,77,58,53,61,100,100,56,55,100,88,66,100,72,44,100,67,65,52,58,47,100,81,68,68,64,60,88,100,100,87,44,53,100,77,64,61,100,100,83,42,55,100,63,64,54,70,79,55,31,55,61,54,100,40,43,39,61,64,84,56,45,63,44,100,73,71,67,90,67,65,87,56,60,40,54,78,100,39,39,53,37,38,67,36,90,63,40,80,69,71,83,40,100,39,77,60,42,74,89,40,87,80,51,62,73,40,58,40,100,37,54,56,69,85,61,56,56,55,65,40,45,43,100,76,100,43,53,42,86,66,73,54,44
"4","65510faa7f1a8b75b43a44ca",68,57,99,53,96,63,91,42,99,75,50,32,52,87,31,16,83,71,50,37,58,88,66,24,29,68,80,85,20,45,32,80,16,41,66,49,70,41,68,62,43,27,71,92,72,100,97,34,51,80,82,76,71,58,49,56,40,59,34,89,71,71,32,38,43,42,71,54,75,99,47,51,66,34,21,57,80,24,38,67,50,54,96,67,92,33,55,97,60,63,11,48,36,98,46,42,34,22,11,62,31,97,18,48,85,21,58,91,52,60,40,44,34,11,58,83,53,69,70,19,53,71,60,23,30,72,25,15,20,35,89,30,34,42,20,84,31,52,45,98,39,66,34,31,49,92,59,83,25,43
"5","655fdb5fd3416866732de4e7",57,65,69,66,65,80,70,43,72,66,62,60,47,61,60,64,59,63,71,44,66,42,60,60,44,58,59,41,63,41,52,63,70,46,68,52,40,70,67,60,44,40,69,64,66,75,68,74,58,37,63,63,44,58,52,63,35,58,63,65,60,66,58,61,65,37,47,65,43,67,34,64,43,42,67,60,68,32,60,42,76,66,64,61,62,65,55,60,63,67,34,40,62,62,64,55,56,34,34,44,64,66,64,34,63,62,59,62,34,65,34,66,67,62,64,63,41,57,70,41,65,61,38,64,57,58,30,63,61,63,67,41,66,70,60,65,61,63,37,76,63,63,38,70,33,66,60,72,58,32
"6","63a3375101319bb7cb39f654",55,63,81,76,60,80,72,54,22,99,65,55,52,44,51,48,33,70,60,61,57,66,60,31,63,34,91,65,54,64,82,67,72,63,53,17,65,70,74,62,27,73,62,74,91,33,60,57,31,68,63,57,68,68,34,63,60,42,51,74,69,55,50,41,71,54,23,66,66,34,57,43,41,33,56,66,59,56,41,60,76,37,52,70,75,55,75,58,50,89,70,61,84,21,53,20,81,48,65,63,41,24,46,51,96,50,59,59,59,78,55,65,52,20,59,33,76,97,57,22,50,63,49,60,60,68,54,49,35,55,86,61,80,97,23,97,46,58,81,20,52,74,80,43,63,49,83,55,20,49
"7","60714361f47701ab73535ae8",41,70,36,63,75,96,90,33,71,54,53,64,59,43,71,38,72,86,60,13,62,52,91,23,39,76,18,32,61,33,33,31,23,42,75,47,39,86,91,21,31,36,67,30,64,70,28,58,31,68,16,40,29,94,70,58,56,36,66,58,26,60,27,45,79,27,41,45,52,73,43,3,8,23,36,56,36,9,31,25,89,39,68,57,19,48,26,30,66,41,16,28,78,64,17,31,57,28,60,57,22,64,62,24,61,42,42,58,44,94,34,54,43,26,29,63,24,70,67,55,39,42,60,64,27,71,31,37,20,52,43,41,71,35,32,38,18,58,28,82,18,60,46,40,19,60,29,62,34,26
"8","64664bc615dd4139df276075",81,68,81,62,73,70,78,77,65,71,58,59,62,42,44,61,60,54,69,66,68,72,84,68,62,58,60,59,57,89,56,75,67,66,51,54,48,61,67,55,46,65,81,61,63,64,63,63,68,77,71,68,72,74,45,71,78,56,53,68,58,71,64,60,69,75,48,77,79,56,61,71,64,60,52,63,58,61,59,56,67,48,55,77,65,49,65,46,72,60,63,61,58,55,57,51,64,63,68,51,66,56,55,66,69,59,55,61,57,67,69,74,88,61,69,60,66,71,66,57,46,71,65,68,75,75,74,58,54,66,53,56,54,62,47,59,71,59,60,47,55,77,67,55,63,66,63,69,53,71
"9","5dc5bd296a8a334443fbf216",77,99,95,83,85,96,98,81,78,98,76,87,76,91,75,67,90,75,97,62,90,86,69,70,87,78,89,77,68,91,83,100,97,88,94,89,94,94,99,84,95,75,89,90,87,67,79,73,72,91,85,87,83,72,78,93,83,85,76,75,74,80,82,81,98,94,76,84,77,90,64,77,90,68,80,82,68,84,68,76,77,76,84,89,88,68,66,72,77,79,71,68,87,62,71,64,77,74,88,74,84,79,73,68,84,75,77,78,67,70,68,85,72,74,69,79,70,79,80,76,82,78,72,92,69,81,82,67,72,90,84,71,82,68,63,61,77,68,74,68,57,91,65,75,95,80,84,73,71,81
"10","610842f58a24a351465246d7",91,78,87,91,55,100,81,86,80,78,63,92,97,99,63,73,100,74,86,29,100,52,74,81,83,97,59,80,54,54,98,50,99,88,100,72,45,69,67,100,99,69,93,83,47,65,87,78,68,43,55,27,85,60,87,56,69,60,56,56,71,88,97,100,97,73,76,33,40,85,81,31,34,53,52,45,71,72,98,29,100,97,100,78,69,62,30,83,86,31,55,45,94,67,43,61,29,78,73,70,68,84,50,73,91,84,46,66,47,97,88,46,76,73,39,82,63,43,75,69,53,93,33,49,54,33,48,64,94,43,89,45,68,33,63,19,52,72,46,33,25,8,35,34,80,52,41,60,69,62
